doelgroep,categorie,type,id,omschrijving,110,120,150,route,bijzonderheden,verwijzen,telefoon,,
,,"Zwemlessen",15,"Peuterzwemmen","x","x"," -","JFS&C","aanvraag indienen via school, Wegwijs+, Leergeld, of Bureau Jeugdzorg; max. € 225 (totaalbudget)","Carmen Nijssen","06 - 156 42 732",,
,,,16,"Diploma A, B, C (vanaf 4 jaar)","x","x"," -","JFS&C","aanvraag via school, Wegwijs+, Leergeld, of Jeugdzorg; max. € 225 (totaalbudget); mn via zwemverenigingen","Carmen Nijssen","06 - 156 42 732",,
,,,17,"Diploma A, B, C (vanaf 5 jaar)","x","x","x","Leergeld","vanaf 5 jaar, < 110% bijstandsnorm, 1x p/w zwemmen 1 u, t/m C-diploma; m.n. via Laco","Liesbeth Blomjous","06 - 543 87 803",,
,"Cultuur","Cultuur",18,"Muziek, dans, toneel, tekenles ","x","x"," -","JFS&C","aanvraag indienen via school, Wegwijs+, Leergeld, of Bureau Jeugdzorg; max. € 425 (totaalbudget)","Carmen Nijssen","06 - 156 42 732",,
,," ",19,"Kleding en attributen cultuur","x","x"," -","JFS&C","aanvraag indienen via school, Wegwijs+, Leergeld, of Bureau Jeugdzorg; max. € 425 (totaalbudget)","Carmen Nijssen","06 - 156 42 732",,
,,,20,"Instrumenten huur/koop","x","x"," -","JFS&C","aanvraag indienen via school, Wegwijs+, Leergeld, of Bureau Jeugdzorg; max. € 425 (totaalbudget)","Carmen Nijssen","06 - 156 42 732",,
,,,21,"Scouting","x","x"," -","JFS&C","aanvraag indienen via school, Wegwijs+, Leergeld, of Bureau Jeugdzorg; max. € 425 (totaalbudget)","Carmen Nijssen","06 - 156 42 732",,
,,,22,"Cultuurevenement meedoen","x"," -"," -","Wegwijs+","Meedoen regeling € 158 / jaar per persoon. Aanvragen via https://wegwijsplus.vught.nl/regeling-meedoen-0","website",,,
,"Welzijn","Verjaardag",23,"Jarige Job (4 t/m 12 jaar)","x","x","x","Leergeld","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 - 543 87 803",,
,,,24,"Speelgoedbank Vught (0 t/m 12 jaar)","x","x","x","Speelgoedbank Vught","Per jaar mogen kinderen 4x een cadeau uitkiezen: verjaardag, december, 2x eigen gekozen moment","Sophia van Thiel","06 - 397 03 630",,
,,"Kampen",25,"Jeugd Aktief","x","x","x","Leergeld","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 - 543 87 803",,
,,,26,"Vakantieweek / weekend","x","x","x","Vincentius","aanvraag via verwijzers (Gemeente, Voedselbank, Vincentius, Leergeld, etc), niet als particulier","Henriette Schuurmans","06 - 291 78 562",,
,,"Telefoon",27,"Aanschaf ","x",,,"Wegwijs+","Aanvragen via www.wegwijsplus.vught.nl/kindpakket. Voor 10 t/m 17 jaar. Max € 500 in 3 jaar (zie onder)","via website",,,
,,"Ontspanning",28,"Speelmiddagen Rozenoord","x","x","x","Leergeld","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 - 543 87 803",,
,,,29,"Speelgoed","x","x","x","Verwijzing","Speelgoedbank Vught: 0 - 12 jaar, 4x/jaar; info@speelgoedbankvught.nl. Of kopen via Kringloopwinkel","Eerst afspraak maken","06 - 397 03 630",,
,,"Incidentele hulp",30,"Meedoen in de maatschappij","x"," -"," -","Wegwijs+","Meedoen regeling € 158 / jaar per persoon. Aanvragen via https://wegwijsplus.vught.nl/regeling-meedoen-0","website",,,
,,,31,"Bril, contactlenzen","x","x","x","Leergeld (NFKH)","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 - 543 87 803",,
,,"Financiele hulp",32,"Meedoen regeling","x"," -"," -","Wegwijs+","Meedoen regeling € 158 / jaar per persoon. Aanvragen via https://wegwijsplus.vught.nl/regeling-meedoen-0","website",,,
,,,33,"Gemeentelijk Sociaal Fonds ","x","x","x","Wegwijs+","Laatste vangnet van Vincentius, kerken, en gemeente; max. € 700 bij financiele / sociale problemen","Vraagverkenning","073 - 658 07 50",,
,,,34,"Kamerinrichting","x","x","x","Vincentius","aanvraag via verwijzers (Gemeente, Voedselbank, Vincentius, Leergeld, etc), niet als particulier","Ton van der Vossen","06 - 291 78 562",,
,,,35,"Kleding","x","x","x","Vincentius","aanvraag via verwijzers (Gemeente, Voedselbank, Vincentius, Leergeld, etc), niet als particulier","Henriette Schuurmans","06 - 291 78 562",,
"Ouders","Welzijn","Schulphulpverlening",36,"Inloopspreekuur","x","x","x","Vincentius","M.n. voor eenmalige geld-vragen. Is op woensdagmorgen, 10-12 u, Vincentiushuis, Ketting 20, Vught","website",,,
,,,37,"Begeleiding thuisadministratie","x","x","x","Vincentius","Vrijwilliger ondersteunt bij ordenen / overzichten maken / betalingsregelingen bij kleinere schulden ","zie onder",,,
,,,38,"Schuldhulpverlening","x","x","x","Wegwijs+","Professional helpt bij complexere financiele schulden: bijv. > € 20.000, eigen bedrijf, belastingdienst","zie onder",,,
,,"Informatie overheid",39,"Informatiepunt digitale overheid","x","x","x","Inloop","Vragen over DigiD, belasting, toeslagen, AOW, werk & uitkering, inburgering, rijbewijs, zorg, stufi, verkeersboetes","DePetrus",,,
,,"Voedselbank",40,"Aanmelden","aparte leefgeld",,,"Wegwijs+","Aanmelden via Wegwijs+. Joris van Maanen indiceert. Aparte leefgeldnorm.","Vraagverkenning","073 - 658 07 50",,
,,,41,"Verstrekking","norm",,,"Vincentius","De Voedselbank is voor mensen met indicatie op vr.mi. In het Vincentiushuis","eerst indicatie","n.v.t.",,
,,"Tandheelkunde",42,"Tandheelkundige hulp + preventie","x","x","x","Vincentius","Aanvragen indienen bij bestuur, via www.vincentiusvught.nl/contact","mailbericht","website",,
,,"Hulppakket",43,"Om de week; extra met Sinterklaas, Kerst","x","x","x","Vincentius","Voor mensen die net boven leefgeldnorm Voedselbank zitten, of na 3 jaar Voedselbank. Indicatie via Wegwijs+","Vraagverkenning","073 - 658 07 50",,
,,"Vluchtelingenwerk",44,"Vluchtelingenwerk","x","x","x","Welzijn Vught","Bij voorkeur < 1-2 weken van tevoren: naam gezin, evt. contactpersoon, hoe bereikbaar",,,,
"Vangnet"," ",,45,"Sociaal Fonds Vught","x","x","x","Sociaal Fonds","Vangnet bij sociale problemen. Max. eenmalig € 700. Gemeente, Lambertuskerk, Protestantse Kerk, Vincentius","Wegwijs+","073 - 658 07 50",,
,,,,,,,,,,,,,
,,"JFS&C:",,"* De factuur van de vereniging moet gericht zijn aan JFS&C en moet de naam van het kind bevatten. Zo niet, handelt JFS&C dit af met de vereniging die factureert",,,,,,,,,
,,"Kindpakket: ",,"* Proces: eerst offerte voorleggen aan Wegwijs+, dan goedkeuring, dan pas bestellen.",,,,,,,,,
,,,,"* Max. € 500 in 3 jaar, voor computer - fiets - telefoon. Tot 18 jaar.",,,,,,,,,
,,"Leergeld:",,"* Schoolkosten: ouderbijdragen worden alleen vergoed op basis van factuur of brief van school ",,,,,,,,,
,,,,"* Sport: elk kind kan per 12 maanden één sport aanvragen. Factuur nodig na eerst 3 proeflessen te hebben gehad .",,,,,,,,,
,,,,"* Cultuur : elk kind kan per 12 maanden één dansles/tekenles/muziekles etc. aanvragen. Factuur nodig na eerst 3 proeflessen te hebben gehad .",,,,,,,,,
,,,,"* NFKH = Nationaal Fonds Kinderhulp; eerst offertes voorleggen aan NFKH",,,,,,,,,
,,"Wegwijs+: ",,"* Eerst offerte voorleggen aan Wegwijs+, dan goedkeuring, dan pas bestellen.",,,,,,,,,
,,,,"* Bram Bergamin (073 - 658 07 50) is beschikbaar voor afstemming met Liesbeth Blomjous en Kees van Dun",,,,,,,,,
,,,,"* Te bereiken via https://wegwijsplus.vught.nl/schuldhulpverlening/formulier invullen. Wegwijs+ belt bij schuldhulpverlening binnen 2 dagen terug",,,,,,,,,
,,"Vincentius:",,"* Te bereiken via website: www.vincentiusvught.nl. En via mail: hulpverlening@vincentiusvught.nl",,,,,,,,,
,,"Speelgoedbank: ",,"* Verwijzing via gemeente, Wegwijs+, Schuldhulp, Welzijn Vught, Leergeld Vught, Jeugdfonds S&C, Vincentius, Voedselbank, kerken, huisartsen, scholen",,,,,,,,,
,,,,"* Verwijzing naar Sophia van Thiel en/of Marjet Hoppenbrouwers",,,,,,,,,
